datetime,Adj_Close,Close,High,Low,Open,Volume,Symbol
2007-04-20,3.24893,3.24893,3.25643,3.23393,3.24607,522779600,AAPL
2007-04-19,3.22393,3.22393,3.25893,3.20821,3.22107,425913600,AAPL
2007-04-18,3.22857,3.22857,3.24464,3.2,3.22,464044000,AAPL
2007-04-17,3.22679,3.22679,3.29643,3.20357,3.28571,751920400,AAPL
2007-04-16,3.26536,3.26536,3.26786,3.22321,3.23464,609033600,AAPL
2007-04-13,3.22286,3.22286,3.26429,3.21643,3.24643,719941600,AAPL
2007-04-12,3.2925,3.2925,3.29679,3.24,3.28714,656675600,AAPL
2007-04-11,3.30679,3.30679,3.35536,3.2975,3.35357,549018400,AAPL
2007-04-10,3.36607,3.36607,3.36643,3.33607,3.34536,352466800,AAPL
2007-04-09,3.34464,3.34464,3.40357,3.32286,3.40036,413341600,AAPL
2007-04-05,3.38143,3.38143,3.38143,3.34,3.36143,355516000,AAPL
2007-04-04,3.36679,3.36679,3.39786,3.36179,3.39071,476784000,AAPL
2007-04-03,3.375,3.375,3.40107,3.34857,3.36214,583934400,AAPL
2007-04-02,3.34464,3.34464,3.36607,3.32214,3.36214,501992400,AAPL
2007-03-30,3.31821,3.31821,3.38143,3.3125,3.36714,600558000,AAPL
2007-03-29,3.34821,3.34821,3.36393,3.29393,3.36393,725723600,AAPL
2007-03-28,3.33,3.33,3.40714,3.32679,3.38857,942337200,AAPL
2007-03-27,3.40929,3.40929,3.45821,3.39286,3.41821,932052800,AAPL
2007-03-26,3.42321,3.42321,3.425,3.33214,3.35679,864987200,AAPL
2007-03-23,3.34,3.34,3.35964,3.33214,3.33393,450884000,AAPL
2007-03-22,3.35571,3.35571,3.37,3.32143,3.3475,561492400,AAPL
2007-03-21,3.3525,3.3525,3.35714,3.27321,3.28536,686896000,AAPL
2007-03-20,3.26714,3.26714,3.28,3.25214,3.2625,488916400,AAPL
2007-03-19,3.25464,3.25464,3.26964,3.19964,3.22286,712961200,AAPL
